Var1,n
aaa,3
aac,6
aace,1
aaci,2
aacn,1
aact,1
aad,6
aae,2
aah,6
aai,6
aaj,1
aak,3
aal,5
aamy,7
aan,6
aao,6
aap,6
aaq,6
aar,5
aas,1
aat,6
aau,6
aaus,5
aav,3
aaw,5
aay,2
aaz,6
aba,1
abaa,2
abab,6
abac,1
abad,6
abai,1
abaj,6
abal,6
abao,1
abau,2
abaz,6
abb,6
abc,6
abd,4
abf,10
abg,5
abh,5
abi,1
abj,6
abk,6
abl,5
abm,5
abn,6
abo,3
abq,9
abr,6
abra,3
abs,5
abt,5
abu,5
abw,1
abx,6
aby,6
abz,6
aca,1
acad,1
acb,5
acc,2
acd,6
ace,1
acf,1
acg,4
ach,5
aci,7
acj,1
ack,3
acl,2
acm,1
acn,1
aco,3
acp,2
acq,3
acr,2
acra,3
acti,1
actn,4
acu,2
acv,7
acw,6
acx,6
acy,4
acz,2
ade,2
adg,2
adi,2
adk,3
adn,3
ado,1
adt,3
aeh,2
aei,7
aep,1
aeq,2
aer,1
aeu,6
aex,3
afa,3
afd,2
afe,2
afg,1
afi,2
afl,8
afn,6
afo,2
afr,2
afs,3
afu,1
afw,2
agc,3
age,3
agn,8
agr,5
agy,2
aha,10
ahd,10
ahe,4
ahh,10
ahi,11
ahj,10
ahl,6
ahm,1
aho,1
ahp,10
ahr,10
ahu,4
ahy,10
ahz,2
ain,3
ais,4
aja,4
ajn,6
ajo,7
ajs,3
aka,2
ala,7
ali,9
all,1
alm,1
aln,3
alt,5
alv,3
amaa,5
amac,5
amad,5
amae,5
amag,5
amai,5
amal,5
amao,5
amb,5
amc,5
amd,4
amed,10
amf,1
amg,5
amh,5
ami,5
amim,2
amk,5
amm,4
amn,4
amo,2
amp,1
amq,3
amr,2
ams,6
amt,10
amu,3
amv,2
amw,1
amx,1
amy,3
amz,4
ana,4
anb,5
anh,1
ank,2
anl,9
anm,9
ano,6
ant,4
anx,11
aoc,2
aoe,8
aoi,4
aol,2
aos,1
apa,3
apac,2
apal,2
apb,1
apc,1
apd,1
ape,1
aper,1
apf,5
apg,5
aph,1
apha,1
apj,6
apk,5
apl,6
apm,1
apn,4
apo,1
app,2
apq,5
apr,4
aprs,1
aps,2
apt,5
apu,5
apv,1
apw,4
apx,5
apy,1
apz,5
aql,1
ara,3
arb,1
arc,5
ard,1
are,6
ari,2
arl,6
arm,6
aro,1
arp,2
arr,6
ars,2
art,5
arw,2
ary,2
arz,2
asa,9
asan,4
asb,5
asc,1
asd,3
ase,6
asf,6
asg,3
ash,1
asi,6
asj,7
asl,2
asm,5
asol,7
asp,5
asq,2
asr,9
ass,6
ast,1
asu,6
asv,5
asy,1
asz,4
ata,4
ate,3
atf,5
ati,9
atm,2
att,7
atu,4
aua,1
auh,4
aui,6
aun,4
aur,4
ava,4
avd,6
ave,1
avi,4
avl,6
avn,6
avo,1
avr,10
avs,7
avu,1
awa,5
awd,7
awo,5
axe,1
axl,6
axn,3
axo,1
axs,3
axy,3
aym,2
ayw,2
aza,5
azc,3
azi,4
azl,9
azo,4
baa,3
bab,1
babb,3
babc,3
babo,3
babr,3
babs,3
babt,3
babu,3
bac,6
bacb,9
bacc,3
baci,12
bacl,10
baco,8
bacp,9
bact,2
bacw,8
bacy,10
bad,5
badl,1
bado,1
bae,7
baf,1
bafe,2
bafh,1
baft,1
bafz,1
bag,10
bah,11
bai,11
baj,1
bajc,1
bak,1
bal,11
balm,10
bam,6
bama,10
bamb,10
bamc,9
bamf,9
bami,10
baml,9
bamn,9
bamp,9
bamt,8
bamy,7
ban,11
banc,2
bang,4
banh,10
bani,4
banl,4
banm,2
banr,11
bans,10
bant,10
banv,11
bao,10
bap,1
bapf,1
bapg,1
baph,1
bapu,1
bapw,1
baq,10
bar,11
barb,1
barc,1
bas,1
bast,2
bat,11
batr,8
bau,1
baus,2
bav,3
baw,1
bax,10
bay,9
baz,6
bbag,1
bbat,2
bbau,1
bbb,4
bbc,4
bbd,4
bbe,15
bbf,3
bbg,1
bbh,3
bbi,3
bbj,1
bbk,2
bbl,1
bbm,3
bbn,1
bbp,3
bbq,1
bbr,3
bbrc,2
bbrd,1
bbre,2
bbrj,2
bbrn,2
bbro,1
bbrs,3
bbru,2
bbrv,2
bbs,1
bbt,2
bbu,1
bbur,1
bbv,3
bbx,3
bby,13
bbz,1
bca,12
bcai,6
bcar,3
bcas,3
bcat,5
bcb,14
bcc,1
bcd,2
bce,13
bced,6
bcee,3
bcef,11
bcel,4
bcen,6
bceo,7
bcep,3
bcer,13
bcet,3
bcew,6
bcf,12
bcg,13
bch,6
bchi,1
bchr,1
bci,2
bcib,2
bcig,1
bcj,6
bck,1
bcl,7
bcm,6
bcn,6
bco,10
bcoa,10
bcon,5
bcor,3
bcp,1
bcq,13
bcr,14
bcs,3
bct,2
bcu,12
bcv,2
bcw,1
bcx,14
bcy,13
bcz,13
bde,4
bdf,3
bdh,3
bdl,5
bdn,1
bdo,7
bdu,1
beb,2
beba,1
bed,1
ben,1
beo,11
bex,1
bfa,3
bfb,3
bfg,6
bfl,1
bfn,6
bfr,6
bfs,6
bfv,2
bfz,1
bga,1
bgb,1
bgd,5
bge,7
bgf,6
bgl,5
bgn,1
bgo,5
bgp,5
bgr,2
bgs,1
bgu,5
bgy,8
bha,8
bhd,1
bhe,2
bhi,1
bhl,5
bhm,3
bhn,2
bho,3
bhr,1
bhs,2
bhu,2
bhy,1
bhz,3
bic,1
bid,3
bif,9
bii,3
bip,1
bja,1
bjp,2
bjs,10
bju,2
bka,5
bks,1
bla,2
blas,2
blb,3
blc,4
bld,7
ble,7
blep,2
blf,4
blg,1
blh,7
bli,7
blin,1
blj,4
blk,3
bll,3
blm,4
bln,4
blo,4
blon,4
blp,1
blq,1
blr,12
bls,4
blt,4
blu,1
blv,4
blw,4
blx,3
bly,3
blz,5
bma,4
bmab,4
bmae,4
bmaf,4
bmai,4
bmal,3
bmaq,3
bmaz,4
bmb,3
bmc,3
bmd,11
bme,3
bmee,3
bmeg,13
bmel,3
bmet,9
bmf,3
bmg,3
bmh,11
bmi,3
bmiy,1
bmj,5
bmk,5
bml,4
bmm,1
bmn,4
bmo,1
bmp,2
bmq,12
bmr,3
bmt,3
bmu,5
bmul,5
bmv,5
bmw,3
bmyc,14
bmyo,12
bmz,3
bnc,14
bne,2
bni,4
bnm,4
boa,5
boc,4
bok,4
bon,11
bop,1
bos,2
bov,3
bpa,3
bpak,1
bpar,3
bpb,6
bpc,3
bpd,4
bpe,3
bper,3
bpet,3
bpeu,3
bpf,7
bph,6
bpi,1
bpip,1
bpj,1
bpk,4
bpl,4
bpla,5
bpm,4
bpn,1
bpo,1
bpp,3
bpq,4
bpr,3
bprc,1
bprl,1
bprm,1
bps,4
bpsa,4
bpsc,6
bpsd,4
bpse,4
bpsh,4
bpsi,3
bpsm,4
bpso,4
bpsp,4
bpsu,4
bpt,3
bpum,8
bpus,2
bpv,3
bpw,1
bpx,6
bpy,6
bpyr,6
bpz,4
bql,7
bqr,2
bqu,2
bqy,9
bra,2
brad,1
brc,1
brd,2
bre,1
brg,2
brh,3
brl,1
brm,1
brs,1
brx,1
bsa,6
bsb,2
bsca,3
bsd,3
bse,7
bsf,3
bsg,2
bsh,10
bsi,3
bsj,14
bsk,3
bsl,10
bsm,11
bsn,9
bso,10
bsp,10
bsq,10
bsr,10
bss,8
bst,10
bsu,10
bsuc,3
bsui,3
bsul,10
bsup,3
bsus,8
bsut,10
bsuv,3
bsv,3
bsw,2
bsx,9
bsy,9
bsz,3
btb,14
btc,13
btd,4
bte,4
btf,14
btg,14
bth,5
btha,4
bthe,4
bthi,14
bthl,4
bthm,4
btho,3
bthr,13
btht,13
bthu,14
bthy,5
bti,12
btj,4
btk,14
btl,14
btm,15
btn,14
bto,6
btp,4
btq,4
btr,2
btra,6
btre,6
btrh,6
btrm,5
bts,5
btt,12
btu,1
btv,4
btw,14
btx,2
bty,12
btz,4
bua,1
bub,6
buc,1
bud,4
bue,6
bug,6
buh,1
buj,4
buk,6
bul,4
buo,5
bup,1
buq,6
bur,6
but,4
bva,1
bve,6
bvi,6
bvl,3
bvn,2
bvr,3
bvs,5
bvt,1
bvu,7
bvv,2
bwe,14
bww,1
bxb,6
bxe,6
bxh,7
bya,10
byi,6
byl,5
caa,2
cab,1
cabo,1
caby,1
cac,11
cace,6
cacn,1
cad,6
cae,11
caf,2
cag,3
cah,9
cai,3
caj,3
cak,2
calh,1
calo,3
calt,4
cama,7
camp,3
camr,3
camu,4
can,3
cao,5
cap,2
caq,1
car,4
carc,3
care,3
cart,1
cat,2
cau,3
cav,1
caw,8
cax,4
cay,11
caz,4
cba,8
cbaa,2
cbab,2
cbac,1
cbal,4
cbat,4
cbb,9
cbc,1
cbd,1
cbe,14
cbei,4
cbf,9
cbg,1
cbh,8
cbi,9
cbj,8
cbk,11
cbl,9
cbm,9
cbn,10
cbo,9
cbot,1
cbq,2
cbs,1
cbt,11
cbu,1
cbut,6
cbv,10
cbw,7
cbx,2
cby,9
cbz,13
cca,1
ccb,9
ccc,3
cce,8
ccel,4
ccf,3
ccg,4
ccj,4
cck,11
ccl,6
ccm,3
ccn,7
ccof,3
ccoi,3
ccol,4
ccon,7
ccoo,3
ccq,3
ccr,2
ccro,3
ccs,2
cct,1
ccu,3
ccup,4
ccx,3
ccy,3
ccz,2
cda,5
cdb,5
cdc,9
cdd,5
cde,5
cdf,11
cdh,5
cdi,5
cdiv,1
cdl,8
cdm,4
cdn,1
cdo,4
cdp,5
cdq,1
cdr,5
cds,5
cdt,5
cdv,5
cdw,5
cdx,6
cdz,5
cea,1
ceb,2
ced,7
cef,5
cei,4
cem,7
cen,7
ceo,2
cep,4
ces,2
cex,1
cey,1
cfd,8
cfe,1
cff,3
cfi,2
cfl,2
cfn,3
cfp,3
cfs,1
cft,3
cfu,3
cfv,1
cfx,3
cfz,3
cga,2
cgb,6
cgc,2
cgd,4
cgg,6
cgj,6
cgl,6
cgm,6
cgn,3
cgo,2
cgq,6
cgra,3
cgs,6
cgx,6
cgy,4
cgz,1
cha,3
chb,1
chc,1
chd,3
che,1
chel,2
chg,2
chh,1
chi,1
chl,3
chm,4
chn,4
chp,1
chq,2
chs,1
cht,1
chu,3
chy,4
chz,1
cid,2
cif,8
cih,1
cii,4
cij,1
cis,3
cja,3
cjb,3
cjd,3
cje,3
cjei,3
cjej,1
cjen,1
cjer,3
cjeu,1
cji,3
cjj,3
cjk,3
cjl,3
cjm,3
cjn,3
cjp,3
cjq,3
cjr,3
cjs,3
cju,3
cjv,3
cjw,3
cjx,3
cjy,2
cjz,3
cke,1
cki,3
ckl,7
ckn,3
cko,7
ckp,3
ckr,7
cku,4
cla,3
clb,8
clc,3
cld,9
cle,11
clg,1
clh,4
cli,2
clj,9
cll,3
clm,3
cln,3
clo,2
clp,1
clq,3
clr,3
cls,4
clt,8
clw,3
cly,4
clz,1
cma,1
cmai,1
cmar,2
cmc,2
cmd,4
cmg,2
cmh,2
cmik,1
cmj,7
cml,6
cmm,2
cmn,2
cmp,3
cmq,4
cmr,3
cmu,2
cmur,2
cmv,4
cmw,7
cmx,2
cmz,2
cna,1
cnc,5
cni,2
cno,10
cnt,7
coa,5
cob,3
coc,4
cod,4
coe,4
coi,4
col,4
com,9
con,2
coo,1
cop,4
cor,4
cos,4
cou,4
cow,3
coz,3
cpa,1
cpae,10
cpas,9
cpat,10
cpb,2
cpc,2
cpe,10
cpec,1
cpel,3
cpeo,1
cper,1
cpf,8
cpg,4
cph,2
cpi,6
cpk,4
cpl,4
cpm,1
cpn,1
cpo,2
cpor,1
cpp,4
cpq,4
cpra,3
cpro,2
cps,9
cpsa,1
cpsb,1
cpsc,1
cpsd,1
cpse,4
cpsf,4
cpsg,1
cpsi,1
cpsm,1
cpsn,1
cpst,1
cpsu,4
cpsv,1
cpsw,1
cpt,1
cpu,4
cpx,4
cpy,8
cpz,4
cra,2
crc,1
crd,3
crh,1
cri,1
crn,8
cro,7
crp,1
crt,1
cru,1
crv,1
csa,5
csb,12
csc,3
csd,3
cse,2
csf,3
csg,4
csh,6
csi,7
csj,7
csk,7
csm,3
csn,3
cso,1
csp,1
csq,9
csr,11
css,3
cst,6
csta,2
csu,1
csw,2
csx,4
csy,1
csz,7
cta,2
ctb,2
ctc,6
ctcf,2
ctch,2
ctcj,2
ctct,2
ctd,2
cte,2
ctec,2
cted,4
cter,5
ctes,9
ctet,5
ctf,2
ctfs,3
ctfw,2
ctg,2
cth,4
cthe,3
cthf,3
cthi,1
cthj,2
cti,5
ctjs,2
ctjt,3
ctk,2
ctla,2
ctlb,2
ctlc,2
ctlf,2
ctli,2
ctlj,2
ctll,2
ctlm,2
ctln,2
ctlq,2
ctls,2
ctlx,2
ctlz,2
ctm,1
ctmj,2
ctn,2
cto,2
ctq,2
ctr,2
ctra,2
ctrb,2
ctrc,2
ctrd,2
ctre,2
ctrf,2
ctrg,2
ctrh,2
ctri,2
ctrj,2
ctrk,2
ctrl,2
ctrm,2
ctrn,2
ctro,2
ctrp,2
ctrq,2
ctrr,2
ctrs,2
ctrt,2
ctru,2
ctrv,2
ctrw,2
ctrx,2
ctry,2
ctrz,2
cts,1
ctt,3
cttj,2
ctu,7
ctv,2
ctw,2
ctx,4
ctyk,1
cua,3
cub,1
cuc,4
cue,4
cui,7
cuj,4
cul,4
cum,1
cun,4
cuq,4
cur,3
cure,3
cus,4
cut,5
cuv,1
cuz,4
cva,6
cvc,2
cvi,8
cvo,3
cvt,5
cwo,1
cya,2
cyb,2
cyc,3
cyh,2
cyj,3
cyn,2
cyp,2
cyq,1
cyt,2
cyu,2
cza,1
daa,2
dab,3
dac,5
dae,10
daf,3
dai,9
dak,2
dal,2
dao,1
dap,2
dar,4
das,2
dat,6
dau,2
dav,2
dba,2
dbr,1
dca,8
dch,1
dda,7
ddc,7
ddd,7
dde,4
ddf,2
ddh,6
ddl,6
ddn,2
ddo,2
ddr,4
dds,3
deb,1
dec,3
ded,3
deg,1
deh,1
dej,1
del,5
den,1
deq,2
des,2
det,1
deu,2
dev,1
dew,1
dfd,1
dfe,4
dfi,3
dge,4
dgg,1
dgi,8
dgo,5
dhd,5
dhk,5
dhy,5
dia,3
din,3
dja,2
dji,2
dka,1
dko,2
dku,3
dly,1
dma,3
dmc,1
dmd,1
dmg,1
dmi,11
dml,2
dmr,4
dmt,8
dmu,1
dmx,1
dmy,1
dmz,1
dni,3
dno,3
doa,2
dok,3
dol,1
don,3
dor,8
dpb,1
dpd,4
dpg,2
dpi,3
dpn,2
dpr,2
dps,7
dpt,3
dra,3
drm,8
drs,4
drt,2
dru,5
dsa,5
dsf,3
dsh,2
dsl,3
dso,4
dsu,2
dsw,3
dsy,6
dte,2
dth,2
dti,1
dtm,1
dto,4
dts,5
dtu,2
dtx,2
duc,1
dva,1
dvg,5
dvl,5
dvm,4
dvu,5
dzc,7
dze,7
eaa,1
eab,7
eac,7
ead,5
eae,8
eah,5
eal,7
eam,7
ean,9
eao,5
ear,8
eas,7
eat,9
eau,8
eay,7
eba,4
ebd,7
ebe,7
ebf,9
ebh,1
ebi,7
ebl,7
ebr,7
ebs,2
ebt,8
ebw,7
eca,7
ecas,5
ecc,7
ecd,7
ece,7
ecf,7
ecg,7
ech,1
echa,1
echj,1
echl,1
echp,1
echs,1
echv,1
echw,1
eci,7
ecj,7
eck,7
ecl,7
ecla,8
eclc,8
ecle,8
eclg,8
ecli,8
ecln,8
eclo,1
eclx,8
ecly,8
eclz,8
ecm,7
ecn,1
eco,7
ecoa,6
ecoh,7
ecoi,7
ecoj,7
ecok,7
ecol,7
ecoo,7
ecos,7
ecp,7
ecq,7
ecr,7
ecs,7
ect,7
ecw,7
ecx,7
ecy,7
ecz,7
edh,7
edj,7
edl,9
edu,6
edw,8
eec,8
eel,5
een,1
efa,4
efau,6
efc,6
efd,4
efe,7
efi,4
efk,1
efl,4
efm,6
efn,4
efq,4
efs,4
eft,6
efu,6
ega,5
ege,7
egn,1
eha,3
ehh,1
ehm,4
eho,5
ehr,6
eic,8
eih,7
ekb,4
ekf,7
eko,7
elb,5
elc,7
eld,7
ele,3
elf,7
elg,4
elh,7
eli,1
ell,7
elm,5
eln,7
elo,7
elp,7
elq,1
elr,7
elu,7
elv,1
elw,7
elx,7
eme,1
emg,2
emi,1
emn,5
emr,1
emu,6
ena,7
enc,8
ene,1
enf,7
enl,8
enm,1
eno,8
enr,9
ent,7
enx,8
eoc,7
eoh,7
eoi,7
eoj,7
eok,7
eol,2
epr,7
epy,7
era,1
erb,3
ere,5
erg,1
erh,7
erj,7
erl,1
ers,3
ert,1
eru,1
erw,1
ery,1
esa,7
esc,7
ese,7
esi,9
esl,7
esm,7
eso,7
esr,1
ess,1
eta,7
etc,8
etd,8
ete,7
etr,8
etw,7
euc,1
eum,7
eun,7
euu,2
evi,4
exm,9
exu,9
eyy,2
faa,4
fac,1
fae,3
fai,1
fal,2
far,7
fau,4
fba,2
fbc,2
fbl,7
fbr,3
fbt,5
fbu,1
fcf,3
fcn,3
fco,5
ffo,1
fgl,3
fgu,3
fhi,1
fhw,2
fia,1
fil,1
fin,4
fis,1
fiy,1
fjg,3
fjo,6
fla,1
fli,3
flm,2
fma,4
fna,1
fnc,5
fne,5
fnl,3
fno,2
fnt,5
fnu,5
foh,1
for,1
fpa,1
fpc,6
fpe,2
fper,2
fph,3
fpi,3
fpj,3
fpk,1
fpl,1
fpla,2
fpm,3
fpn,7
fpo,6
fpp,4
fpq,1
fps,6
fpsz,2
fpt,3
fpv,1
fpw,1
fpx,3
fpy,6
fpz,3
fra,2
fre,3
frf,3
fri,3
fro,2
frp,1
frt,3
fsc,3
fsi,2
fsu,3
fsy,2
fta,3
ftc,3
ftd,3
fte,2
ftf,3
ftg,3
fth,3
fti,3
ftl,3
ftm,3
ftn,3
fto,3
ftq,3
ftr,3
fts,3
ftt,3
ftu,3
ftv,3
ftw,3
ftx,3
fty,3
ftz,3
fus,5
gac,1
gag,5
gah,1
gal,1
gan,6
gao,2
gap,4
gar,1
gau,1
gba,2
gbc,3
gbe,3
gbh,3
gbi,1
gbm,4
gbr,2
gbs,3
gca,3
gct,8
gdi,4
gdj,4
gea,10
geb,4
ged,1
gei,3
gej,9
gel,11
gem,4
gen,1
geo,2
gfe,9
gfl,2
gfo,3
ggh,10
gho,9
gjf,10
gka,9
glj,1
glo,2
glp,2
gma,1
gmc,10
gme,2
gni,4
gob,3
goh,5
goq,4
gor,3
got,4
gox,4
goy,4
gpa,1
gpb,3
gph,1
gpi,3
gpo,3
gps,6
grl,1
gsb,3
gse,8
gsk,2
gsn,4
gsr,9
gst,12
gsu,2
gta,1
gte,9
gth,10
gtk,3
gtn,10
gur,2
gva,2
gvg,2
gvh,2
gvi,1
gwc,10
gxl,5
gxy,5
gya,8
gyc,8
gym,8
haa,6
hab,3
hac,2
hah,2
hak,6
hal,1
halh,1
hali,1
halo,1
ham,6
hao,3
hap,6
har,2
has,4
hat,3
hau,5
hav,8
haz,1
hba,2
hbc,1
hbi,2
hbo,2
hbu,1
hca,2
hcb,2
hcc,1
hcd,1
hce,2
hch,5
hci,1
hcm,2
hcn,2
hco,1
hcp,2
hcr,1
hcs,6
hct,1
hda,1
hde,3
hdl,1
hdn,1
hdu,6
heb,2
hed,1
hef,2
heg,2
hei,2
hel,4
hem,2
hen,2
heo,2
hep,2
heq,2
her,2
hes,2
heu,2
hex,2
hey,2
hez,2
hgi,1
hha,2
hhb,1
hhd,7
hhe,1
hhi,3
hhl,5
hhm,1
hhn,3
hho,2
hhp,2
hhq,2
hhr,2
hhs,3
hhsr,1
hht,2
hhu,4
hhy,2
hia,7
hic,6
hie,6
hih,6
hik,6
hin,6
hip,6
hiq,6
hit,6
hiw,6
hix,6
hiz,6
hja,1
hjo,5
hla,3
hlc,2
hlr,2
hma,3
hmc,1
hme,2
hmo,8
hmr,2
hmu,3
hna,2
hne,1
hni,1
hoe,2
hoh,2
hor,4
hpa,2
hpak,6
hpas,6
hpaz,5
hpb,2
hpc,2
hpd,2
hpe,2
hpf,2
hpg,2
hph,2
hpi,1
hpk,4
hpl,2
hpm,2
hpo,2
hpp,2
hpq,1
hps,2
hpt,2
hpu,2
hpv,2
hpw,1
hpx,2
hpy,2
hpya,2
hpyb,2
hpyc,2
hpyd,2
hpye,2
hpyf,2
hpyg,2
hpyh,2
hpyi,2
hpyj,2
hpyk,2
hpyl,2
hpym,2
hpyo,2
hpyr,2
hpys,2
hpyu,2
hpz,2
hrb,3
hru,2
hsd,1
hse,3
hsf,1
hsi,1
hsl,1
hsm,5
hso,5
hsu,1
hsw,1
hsz,1
hte,1
hth,1
hti,1
htu,3
hty,2
hut,1
hvo,2
hwa,1
hwc,2
hxa,3
hya,2
hyb,1
hyd,1
hye,1
hyg,1
hyl,1
hym,4
hyp,2
hyr,2
hys,2
iag,1
ial,1
ibu,2
ica,2
icp,3
ido,2
iho,1
iis,1
ili,4
ilo,4
ipa,3
ipo,8
iva,3
jab,10
jag,1
jal,5
jan,1
jaz,4
jda,3
jde,5
jeo,9
jep,2
jeu,5
jte,1
kal,3
kba,5
kbl,3
kbt,3
kci,3
kco,3
kcr,1
kct,3
kde,3
kdi,3
kfl,2
kfv,1
kga,3
kge,2
kin,7
kki,4
kko,2
kle,7
kln,7
kmi,7
kna,2
koc,8
koe,8
kok,8
kol,2
kom,8
kon,3
kor,5
kox,8
koy,8
kpa,8
kpb,8
kpc,8
kpe,8
kpf,1
kpg,8
kph,8
kphy,3
kpi,8
kpj,8
kpl,3
kpm,8
kpn,8
kpne,9
kpnu,8
kpo,8
kpp,8
kpq,8
kpr,7
kps,8
kpt,8
kpu,8
kpv,8
kpw,8
kpx,8
kpy,8
kpz,8
kqu,8
kra,4
krd,7
krh,3
ksa,7
ksd,1
kse,2
ksk,9
kur,9
kva,8
kvd,8
kvl,5
kvq,8
kvu,5
laa,3
lab,1
lac,4
lacy,2
lad,4
lae,4
laf,4
lag,6
lagg,1
lai,4
laj,1
lal,4
lam,4
lan,2
lao,6
lap,3
laq,1
lar,3
las,3
lat,3
lau,3
law,4
lax,8
lay,4
laz,4
lba,5
lbf,2
lbh,5
lbi,2
lbj,2
lbl,2
lbn,5
lbr,5
lbt,3
lbu,9
lby,3
lca,5
lcc,3
lce,5
lch,2
lci,4
lcl,5
lcn,4
lcp,2
lcr,4
lcs,5
lct,1
lcu,2
lcw,5
lcx,5
lcz,5
ldb,9
lde,9
ldl,9
lec,4
led,2
leg,2
lem,1
len,1
leo,4
lep,2
let,2
lez,2
lfa,4
lfc,3
lfe,5
lff,5
lfi,2
lfp,2
lfr,5
lfu,13
lga,6
lge,4
lgl,5
lgn,3
lgr,5
lgs,4
lgu,2
lgv,5
lgy,10
lha,4
lhd,4
lhe,4
lhh,4
lhi,4
lhk,7
lhl,4
lho,4
lhr,4
lhv,4
lia,6
lic,2
lie,2
lih,3
lii,6
lil,2
lim,2
lin,6
lio,6
lir,2
lis,2
liv,6
liw,6
lje,1
ljf,4
ljh,4
ljn,4
ljo,6
lki,4
lko,6
lku,5
lla,6
llc,6
lld,6
lle,2
llf,4
lli,6
